binomial_name,genus,common_name
Acer saccharum,Acer,Sugar Maple
Acer saccharum,Acer,Sugar Maple
Acer saccharum,Acer,Sugar Maple
Acer saccharum,Acer,Sugar Maple
Acer saccharum,Acer,Sugar Maple
Acer saccharum,Acer,Sugar Maple
Acer saccharum,Acer,Sugar Maple
Acer saccharum,Acer,Sugar Maple
Acer saccharum,Acer,Sugar Maple
Acer saccharum,Acer,Sugar Maple
Acer rubrum,Acer,Red Maple
Acer rubrum,Acer,Red Maple
Acer rubrum,Acer,Red Maple
Acer rubrum,Acer,Red Maple
Acer rubrum,Acer,Red Maple
Quercus rubra,Quercus,Northern Red Oak
Quercus rubra,Quercus,Northern Red Oak
Quercus rubra,Quercus,Northern Red Oak
Quercus rubra,Quercus,Northern Red Oak
Quercus rubra,Quercus,Northern Red Oak
Quercus alba,Quercus,White Oak
Quercus alba,Quercus,White Oak
Quercus alba,Quercus,White Oak
Fagus grandifolia,Fagus,American Beech
Fagus grandifolia,Fagus,American Beech
Fagus grandifolia,Fagus,American Beech
Fagus grandifolia,Fagus,American Beech
Betula alleghaniensis,Betula,Yellow Birch
Betula alleghaniensis,Betula,Yellow Birch
Betula alleghaniensis,Betula,Yellow Birch
Betula papyrifera,Betula,Paper Birch
Betula papyrifera,Betula,Paper Birch
Fraxinus americana,Fraxinus,White Ash
Fraxinus americana,Fraxinus,White Ash
Fraxinus americana,Fraxinus,White Ash
Fraxinus pennsylvanica,Fraxinus,Green Ash
Ulmus americana,Ulmus,American Elm
Ulmus americana,Ulmus,American Elm
Tilia americana,Tilia,American Basswood
Tilia americana,Tilia,American Basswood
Carya ovata,Carya,Shagbark Hickory
Carya ovata,Carya,Shagbark Hickory
Carya cordiformis,Carya,Bitternut Hickory
Prunus serotina,Prunus,Black Cherry
Prunus serotina,Prunus,Black Cherry
Ostrya virginiana,Ostrya,Eastern Hop-hornbeam
Carpinus caroliniana,Carpinus,American Hornbeam
Tsuga canadensis,Tsuga,Eastern Hemlock
Tsuga canadensis,Tsuga,Eastern Hemlock
Tsuga canadensis,Tsuga,Eastern Hemlock
Pinus strobus,Pinus,Eastern White Pine
Pinus strobus,Pinus,Eastern White Pine
Picea glauca,Picea,White Spruce
Abies balsamea,Abies,Balsam Fir
Rhamnus cathartica,Rhamnus,Common Buckthorn
Rhamnus cathartica,Rhamnus,Common Buckthorn
Rhamnus cathartica,Rhamnus,Common Buckthorn
Rhamnus cathartica,Rhamnus,Common Buckthorn
Rhamnus cathartica,Rhamnus,Common Buckthorn
Ailanthus altissima,Ailanthus,Tree-of-heaven
Ailanthus altissima,Ailanthus,Tree-of-heaven
Ailanthus altissima,Ailanthus,Tree-of-heaven
Ailanthus altissima,Ailanthus,Tree-of-heaven
Acer platanoides,Acer,Norway Maple
Acer platanoides,Acer,Norway Maple
Acer platanoides,Acer,Norway Maple
Acer platanoides,Acer,Norway Maple
Robinia pseudoacacia,Robinia,Black Locust
Robinia pseudoacacia,Robinia,Black Locust
Robinia pseudoacacia,Robinia,Black Locust
